task_id,A1_successes,PhaseRoute_successes,success_difference,A1_FM_per_call,PhaseRoute_FM_per_call,FM_reduction,PhaseRoute_early_exit_calls
0,8,7,-1,9.793017456359102,6.883720930232558,0.2970786623317403,25
1,9,10,1,10.71584699453552,6.462962962962963,0.39687801008555734,77
2,10,10,0,10.442724458204335,6.579881656804734,0.3699075674035195,65
3,9,10,1,10.031847133757962,6.227586206896552,0.37921839080459774,93
4,8,7,-1,11.010840108401084,6.865671641791045,0.37646250656635594,26
5,7,8,1,11.46927374301676,6.815625,0.40574920847540186,29
6,10,10,0,10.053003533568905,6.758241758241758,0.3277390447864965,33
7,9,9,0,11.210526315789474,6.689655172413793,0.4032701958879715,52
8,9,9,0,9.235067437379577,6.838323353293413,0.2595264301357644,40
9,6,8,2,11.680161943319838,6.647191011235955,0.43089907113508463,72
